UserID,Order,Time
200000000,"[0,1,0]","[0,0,1]"
200000000,"[0,1,0]","[0,0,1]"
200000000,"[1,0,0]","[0,1,0]"
200000000,"[1,0,0]","[0,0,1]"
200000000,"[1,0,0]","[0,0,1]"
200000000,"[1,0,0]","[1,0,0]"
200199695,"[1,0,0]","[0,1,0]"
200921635,"[0,1,0]","[0,1,0]"
203011533,"[1,0,0]","[0,0,1]"
203051353,"[0,1,0]","[0,0,1]"
203051353,"[1,0,0]","[1,0,0]"
203187153,"[0,1,0]","[0,1,0]"
203187153,"[0,1,0]","[0,1,0]"
203187153,"[0,1,0]","[1,0,0]"
203187153,"[0,1,0]","[1,0,0]"
203447188,"[1,0,0]","[0,1,0]"
203447188,"[1,0,0]","[0,1,0]"
203478123,"[0,1,0]","[0,1,0]"
204063640,"[0,0,1]","[0,0,1]"
204754507,"[0,0,1]","[0,0,1]"
204754507,"[0,0,1]","[0,1,0]"
204754507,"[0,0,1]","[0,0,1]"
204754507,"[0,0,1]","[1,0,0]"
204754507,"[0,0,1]","[1,0,0]"
204754507,"[0,1,0]","[0,0,1]"
204754507,"[0,1,0]","[0,0,1]"
204754507,"[1,0,0]","[1,0,0]"
204754507,"[1,0,0]","[0,0,1]"
204754507,"[1,0,0]","[1,0,0]"
204754507,"[1,0,0]","[0,0,1]"
204754507,"[1,0,0]","[1,0,0]"
204754507,"[1,0,0]","[0,0,1]"
204754507,"[1,0,0]","[1,0,0]"
204754507,"[1,0,0]","[0,1,0]"
204754507,"[1,0,0]","[0,0,1]"
204754507,"[1,0,0]","[0,0,1]"
204754507,"[1,0,0]","[0,0,1]"
204754507,"[1,0,0]","[0,0,1]"
204754507,"[1,0,0]","[0,1,0]"
204754507,"[1,0,0]","[0,1,0]"
204754507,"[1,0,0]","[0,0,1]"
204754507,"[1,0,0]","[0,0,1]"
204754507,"[1,0,0]","[0,0,1]"
204754507,"[1,0,0]","[1,0,0]"
204754507,"[1,0,0]","[0,0,1]"
204754507,"[1,0,0]","[1,0,0]"
204754507,"[1,0,0]","[1,0,0]"
204754507,"[1,0,0]","[1,0,0]"
204754507,"[1,0,0]","[1,0,0]"
204754507,"[1,0,0]","[0,0,1]"
204754507,"[1,0,0]","[1,0,0]"
204754507,"[1,0,0]","[0,0,1]"
204754507,"[1,0,0]","[0,0,1]"
204754507,"[1,0,0]","[0,0,1]"
204754507,"[1,0,0]","[0,0,1]"
204754507,"[1,0,0]","[0,0,1]"
204754507,"[1,0,0]","[0,0,1]"
204754507,"[1,0,0]","[0,0,1]"
204754507,"[1,0,0]","[0,1,0]"
204754507,"[1,0,0]","[0,0,1]"
204754507,"[1,0,0]","[0,0,1]"
204754507,"[1,0,0]","[0,0,1]"
204754507,"[1,0,0]","[0,0,1]"
204754507,"[1,0,0]","[0,1,0]"
204754507,"[1,0,0]","[0,1,0]"
204754507,"[1,0,0]","[0,1,0]"
204754507,"[1,0,0]","[0,0,1]"
204754507,"[1,0,0]","[0,0,1]"
204754507,"[1,0,0]","[0,0,1]"
